date,derived_cycle,limit_up_reference,limit_down_reference,broken_reference,seal_rate_reference
2026-07-01,高潮,217.0,11.0,87.0,0.7138157894736842
2026-07-02,退潮,154.0,41.0,55.0,0.7368421052631579
2026-07-03,修复,156.0,24.0,56.0,0.7358490566037735
2026-07-06,退潮,71.0,50.0,44.0,0.6173913043478261
2026-07-07,冰点,34.0,44.0,24.0,0.5862068965517241
2026-07-08,退潮,55.0,43.0,17.0,0.7638888888888888
2026-07-09,分歧/震荡,74.0,14.0,23.0,0.7628865979381443
2026-07-10,升温,90.0,5.0,92.0,0.4945054945054945
2026-07-13,冰点,30.0,176.0,13.0,0.6976744186046512
2026-07-14,修复,85.0,25.0,20.0,0.8095238095238095
2026-07-15,升温,73.0,33.0,21.0,0.776595744680851
2026-07-16,分歧/震荡,46.0,38.0,26.0,0.6388888888888888
2026-07-17,冰点,34.0,198.0,10.0,0.7727272727272727
2026-07-20,冰点,54.0,238.0,39.0,0.5806451612903226
2026-07-21,修复,120.0,26.0,8.0,0.9375
2026-07-22,退潮,47.0,9.0,38.0,0.5529411764705883
2026-07-23,修复,128.0,2.0,25.0,0.8366013071895425
2026-07-24,冰点,42.0,24.0,14.0,0.75
2026-07-27,修复,121.0,6.0,13.0,0.9029850746268657
2026-07-28,分歧/震荡,68.0,48.0,22.0,0.7555555555555555
2026-07-29,升温,86.0,9.0,14.0,0.86
2026-07-30,退潮,56.0,76.0,20.0,0.7368421052631579
2026-07-31,修复,101.0,0.0,113.0,0.4719626168224299
