date,market_cycle,adv_ratio,median_return,top_themes,total_leader_candidates,prev_day_hot_cohort_effect,review_conclusion,formal_trade_decision
2026-07-01,高潮,0.7659187386294725,0.01990049751243772,化工|机器人|半导体,001331:胜通能源,unknown,周期=高潮; 题材=化工|机器人|半导体; 昨强效应=unknown,False
2026-07-02,退潮,0.3894502829426031,-0.005643633838764539,医药|机器人,600641:先导基电,positive,周期=退潮; 题材=医药|机器人; 昨强效应=positive,False
2026-07-03,修复,0.6723928860145514,0.011227336047602732,机器人|汽车|军工,002979:雷赛智能,negative,周期=修复; 题材=机器人|汽车|军工; 昨强效应=negative,False
2026-07-06,退潮,0.3511820569812083,-0.011607142857142816,机器人|算力硬件|半导体,603211:晋拓股份,mixed,周期=退潮; 题材=机器人|算力硬件|半导体; 昨强效应=mixed,False
2026-07-07,冰点,0.12351160443995964,-0.02924242424242418,半导体,600246:万通发展,negative,周期=冰点; 题材=半导体; 昨强效应=negative,False
2026-07-08,退潮,0.27607113985448667,-0.014429768675582266,机器人|算力硬件,002841:视源股份,positive,周期=退潮; 题材=机器人|算力硬件; 昨强效应=positive,False
2026-07-09,分歧/震荡,0.45872855701311804,-0.0015987210231813709,算力硬件|半导体|存储芯片,000977:浪潮信息,positive,周期=分歧/震荡; 题材=算力硬件|半导体|存储芯片; 昨强效应=positive,False
2026-07-10,升温,0.6735395189003437,0.011701170117011772,机器人|医药|商业航天,000887:中鼎股份,mixed,周期=升温; 题材=机器人|医药|商业航天; 昨强效应=mixed,False
2026-07-13,冰点,0.14744496061401738,-0.04115226337448563,医药|商业航天,600664:哈药股份,negative,周期=冰点; 题材=医药|商业航天; 昨强效应=negative,False
2026-07-14,修复,0.7582306604726318,0.015241320914479273,算力硬件|油气,600664:哈药股份,mixed,周期=修复; 题材=算力硬件|油气; 昨强效应=mixed,False
2026-07-15,升温,0.617249040597859,0.008367033886487407,医药,688192:迪哲医药,positive,周期=升温; 题材=医药; 昨强效应=positive,False
2026-07-16,分歧/震荡,0.44606060606060605,-0.002304159698441721,医药|游戏影视|算力硬件,002739:儒意电影,positive,周期=分歧/震荡; 题材=医药|游戏影视|算力硬件; 昨强效应=positive,False
2026-07-17,冰点,0.07569640694388373,-0.04333562510079536,医药|电力电网,603567:珍宝岛,negative,周期=冰点; 题材=医药|电力电网; 昨强效应=negative,False
2026-07-20,冰点,0.3393217601937828,-0.01784198399223863,电力电网|油气|资源有色,600126:杭钢股份,mixed,周期=冰点; 题材=电力电网|油气|资源有色; 昨强效应=mixed,False
2026-07-21,修复,0.5625756964069439,0.005902527473484631,算力硬件|半导体|存储芯片,000889:中嘉博创,positive,周期=修复; 题材=算力硬件|半导体|存储芯片; 昨强效应=positive,False
2026-07-22,退潮,0.27140549273021003,-0.013030663749714011,算力硬件|电力电网|资源有色,000815:美利云,positive,周期=退潮; 题材=算力硬件|电力电网|资源有色; 昨强效应=positive,False
2026-07-23,修复,0.7632801454251666,0.017654476670870167,电力电网,002197:证通电子,positive,周期=修复; 题材=电力电网; 昨强效应=positive,False
2026-07-24,冰点,0.09797979797979799,-0.028535175547852898,半导体|军工,601606:长城军工,mixed,周期=冰点; 题材=半导体|军工; 昨强效应=mixed,False
2026-07-27,修复,0.9415571284125379,0.028021015761821477,电力电网|机器人,301234:五洲医疗,positive,周期=修复; 题材=电力电网|机器人; 昨强效应=positive,False
2026-07-28,分歧/震荡,0.4499494438827098,-0.0018198362147406888,脑机接口|半导体|算力硬件,002173:创新医疗,mixed,周期=分歧/震荡; 题材=脑机接口|半导体|算力硬件; 昨强效应=mixed,False
2026-07-29,升温,0.766835187057634,0.015706806282722363,消费,000428:华天酒店,mixed,周期=升温; 题材=消费; 昨强效应=mixed,False
2026-07-30,退潮,0.31899858671512216,-0.0116981132075471,消费,002882:金龙羽,mixed,周期=退潮; 题材=消费; 昨强效应=mixed,False
2026-07-31,修复,0.8417222559126744,0.020125786163522008,AI应用|算力硬件|机器人,300996:普联软件,positive,周期=修复; 题材=AI应用|算力硬件|机器人; 昨强效应=positive,False
