date,universe,eligible,advancers,decliners,adv_ratio,median_return,mean_return,up5,down5,turnover,github_close_limit_up_nonst,github_touched_limit_up_nonst,github_broken_proxy_nonst,github_close_limit_down_nonst
2026-07-01,4952,4947,3789,1120,0.7659187386294725,0.01990049751243772,0.019305339337779732,659,183,3610229829513.379,,,,
2026-07-02,4953,4948,1927,2899,0.3894502829426031,-0.005643633838764539,-0.008766971626206517,207,522,3386933722403.4824,84.0,131.0,47.0,45.0
2026-07-03,4953,4948,3327,1542,0.6723928860145514,0.011227336047602732,0.009859842296398967,490,301,3136223618315.0713,99.0,158.0,59.0,28.0
2026-07-06,4954,4949,1738,3120,0.3511820569812083,-0.011607142857142816,-0.011748140089774949,222,630,3041458646473.247,64.0,111.0,47.0,49.0
2026-07-07,4961,4955,612,4319,0.12351160443995964,-0.02924242424242418,-0.026224142434519978,120,642,2539926796105.0503,33.0,65.0,32.0,36.0
2026-07-08,4954,4948,1366,3461,0.27607113985448667,-0.014429768675582266,-0.016034078622484505,141,657,2523705570113.4014,47.0,62.0,15.0,53.0
2026-07-09,4961,4955,2273,2556,0.45872855701311804,-0.0015987210231813709,0.006243515026107894,474,89,2871113780606.5596,71.0,99.0,28.0,17.0
2026-07-10,4953,4947,3332,1558,0.6735395189003437,0.011701170117011772,0.007480162697401137,356,364,3337487733478.082,90.0,189.0,99.0,15.0
2026-07-13,4957,4951,730,4188,0.14744496061401738,-0.04115226337448563,-0.040875858265252335,102,1987,2779216372463.1367,28.0,47.0,19.0,185.0
2026-07-14,4957,4951,3754,1143,0.7582306604726318,0.015241320914479273,0.015324935542570152,469,147,2668349178561.424,79.0,105.0,26.0,27.0
2026-07-15,4958,4951,3056,1833,0.617249040597859,0.008367033886487407,0.002542010444233586,276,427,2536727369464.506,68.0,99.0,31.0,42.0
2026-07-16,4957,4950,2208,2604,0.44606060606060605,-0.002304159698441721,-0.0073108256675264134,153,552,2374635692295.5547,40.0,70.0,30.0,38.0
2026-07-17,4961,4954,375,4544,0.07569640694388373,-0.04333562510079536,-0.04818009399078108,61,2121,2622779638218.9043,29.0,45.0,16.0,218.0
2026-07-20,4961,4954,1681,3200,0.3393217601937828,-0.01784198399223863,-0.022390473372445815,252,1280,2669452617060.735,55.0,101.0,46.0,247.0
2026-07-21,4961,4954,2787,2068,0.5625756964069439,0.005902527473484631,0.015467110946360834,874,119,2922610459955.9434,118.0,132.0,14.0,22.0
2026-07-22,4959,4952,1344,3503,0.27140549273021003,-0.013030663749714011,-0.009661389074244972,197,217,2622070743288.2764,44.0,85.0,41.0,11.0
2026-07-23,4958,4951,3779,1119,0.7632801454251666,0.017654476670870167,0.017700361192874128,505,107,2168749265057.75,112.0,139.0,27.0,4.0
2026-07-24,4957,4950,485,4447,0.09797979797979799,-0.028535175547852898,-0.026397821856479566,96,591,1905516348600.0496,37.0,50.0,13.0,28.0
2026-07-27,4952,4945,4656,254,0.9415571284125379,0.028021015761821477,0.030771065163629877,766,23,1910261455288.949,109.0,126.0,17.0,7.0
2026-07-28,4953,4945,2225,2584,0.4499494438827098,-0.0018198362147406888,-0.009043361615772197,126,596,1953204198724.7441,56.0,81.0,25.0,59.0
2026-07-29,4953,4945,3792,1119,0.766835187057634,0.015706806282722363,0.012326149114091137,248,161,2223830748724.589,76.0,94.0,18.0,13.0
2026-07-30,4961,4953,1580,3264,0.31899858671512216,-0.0116981132075471,-0.018970853943864642,104,952,2268730362364.049,46.0,72.0,26.0,93.0
2026-07-31,4956,4947,4164,681,0.8417222559126744,0.020125786163522008,0.025684309829012163,802,14,2461988116638.0073,96.0,235.0,139.0,0.0
