date,source_id,limit_up_count,board_count,max_board,broken_board_count,limit_down_count,advancers,decliners,turnover_trillion,availability
2026-07-01,yyqyx_limitup,217.0,38.0,7.0,87.0,11.0,4329.0,1145.0,3.68,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-02,yyqyx_limitup,154.0,64.0,5.0,55.0,41.0,2219.0,3162.0,3.47,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-03,yyqyx_limitup,156.0,48.0,5.0,56.0,24.0,3804.0,1628.0,3.21,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-06,yyqyx_limitup,71.0,13.0,6.0,44.0,50.0,1876.0,3541.0,3.11,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-07,yyqyx_limitup,34.0,6.0,6.0,24.0,44.0,693.0,4797.0,2.6,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-08,yyqyx_limitup,55.0,9.0,7.0,17.0,43.0,1593.0,3790.0,2.58,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-09,yyqyx_limitup,74.0,6.0,8.0,23.0,14.0,2486.0,2888.0,2.93,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-10,yyqyx_limitup,90.0,10.0,3.0,92.0,5.0,3772.0,1678.0,3.41,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-13,yyqyx_limitup,30.0,10.0,4.0,13.0,176.0,801.0,4683.0,2.83,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-14,yyqyx_limitup,85.0,7.0,5.0,20.0,25.0,4211.0,1247.0,2.72,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-15,yyqyx_limitup,73.0,15.0,4.0,21.0,33.0,3351.0,2098.0,2.59,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-16,yyqyx_limitup,46.0,9.0,5.0,26.0,38.0,2499.0,2861.0,2.42,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-17,yyqyx_limitup,34.0,9.0,4.0,10.0,198.0,482.0,5001.0,2.67,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-20,yyqyx_limitup,54.0,7.0,3.0,39.0,238.0,1740.0,3710.0,2.72,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-21,yyqyx_limitup,120.0,5.0,4.0,8.0,26.0,3107.0,2301.0,2.97,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-22,yyqyx_limitup,47.0,12.0,5.0,38.0,9.0,1530.0,3876.0,2.67,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-23,yyqyx_limitup,128.0,15.0,6.0,25.0,2.0,4260.0,1208.0,2.21,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-24,yyqyx_limitup,42.0,17.0,4.0,14.0,24.0,555.0,4940.0,1.94,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-27,yyqyx_limitup,121.0,9.0,5.0,13.0,6.0,5195.0,286.0,2.09,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-28,yyqyx_limitup,68.0,19.0,6.0,22.0,48.0,2603.0,2769.0,2.04,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-29,yyqyx_limitup,86.0,12.0,7.0,14.0,9.0,4253.0,1215.0,2.31,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-30,yyqyx_limitup,56.0,11.0,8.0,20.0,76.0,1768.0,3635.0,2.36,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
2026-07-31,yyqyx_limitup,101.0,10.0,9.0,113.0,0.0,4691.0,728.0,2.56,archive; structural membership only; semantic PIT requires timestamped same-day corroboration
