date,source_id,url,ok,status,error,path,sha256,fetched_at_utc,provenance
2026-07-01,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-01,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-01_yyqyx_limitup.html,c7f4157d8ecdec2b1468eb732771b9356c06ccc126cb305d25086d52490de94f,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-01,lianban_archive,https://lianban.net/days/2026-07-01.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-02,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-02,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-02_yyqyx_limitup.html,2a5b79a4ddea420b189220a1d459c73afdbce5b3a53beeda8b6d968859042346,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-02,lianban_archive,https://lianban.net/days/2026-07-02.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-03,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-03,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-03_yyqyx_limitup.html,04047ae1f6f8d46e01405db70610b29dfc7b62932a87fe2a7e9a48a95fbfac71,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-03,lianban_archive,https://lianban.net/days/2026-07-03.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-06,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-06,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-06_yyqyx_limitup.html,ad976c9dd408f8674ea333ca85dc02fc46df3d0d5ce8e869145d91cab34826bb,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-06,lianban_archive,https://lianban.net/days/2026-07-06.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-07,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-07,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-07_yyqyx_limitup.html,28ebc76bd3801edff0bb8c1d61ece219aee0c4fef9a6e5a6af2e31654f6527b5,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-07,lianban_archive,https://lianban.net/days/2026-07-07.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-08,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-08,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-08_yyqyx_limitup.html,64e9134034bf36d982cdb5fe3d3a13dcb6fd452924be16b45175b086dd37edfc,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-08,lianban_archive,https://lianban.net/days/2026-07-08.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-09,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-09,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-09_yyqyx_limitup.html,56f20be8ac49464b633ad8818e90711a986b9ba8a5384b7515f5bc46b77fbe1b,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-09,lianban_archive,https://lianban.net/days/2026-07-09.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-10,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-10,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-10_yyqyx_limitup.html,5353b6ca5a0c1f3523c2779b33b13aa24105fe46b5355a41e64ec89c9532e3e7,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-10,lianban_archive,https://lianban.net/days/2026-07-10.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-13,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-13,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-13_yyqyx_limitup.html,0f81a66b38632d75b16b9467c299dc0afadaf5edd5252452e6acd6e4e2aed75c,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-13,lianban_archive,https://lianban.net/days/2026-07-13.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-14,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-14,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-14_yyqyx_limitup.html,b16d6462a64c1a9d1d2e49960b0e8bfe057563619c044e121bfc1a9da7bcd9e8,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-14,lianban_archive,https://lianban.net/days/2026-07-14.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-15,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-15,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-15_yyqyx_limitup.html,dc0502b4c357de82ec9bdde5b4c9a38205773a4a10d4e8d9f642aef98555af21,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-15,lianban_archive,https://lianban.net/days/2026-07-15.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-16,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-16,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-16_yyqyx_limitup.html,1c59b43fb026c06aaa0dd2c920aa32759fec4776d3e507cab79ea27737b04a2c,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-16,lianban_archive,https://lianban.net/days/2026-07-16.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-17,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-17,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-17_yyqyx_limitup.html,b8320c46c8874474c818976e328598a51508d6e3e76bd725c1728c637019f30b,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
2026-07-17,lianban_archive,https://lianban.net/days/2026-07-17.html,False,,SKIPPED_STRICT_PIT: current archive publication/version timing not proven,,,,
2026-07-20,yyqyx_limitup,https://www.yyqyx.com/limit-up/2026-07-20,True,200.0,,/home/runner/work/data1/data1/july_knowledge/bootstrap_v1/raw_web/2026-07-20_yyqyx_limitup.html,6d20847c9eafc58c28d3431532d6a1e9af9842c5eba4b7c023789832f55f1d6c,2026-09-11T10:23:00Z~10:24:00Z,github_actions_run=34588894613;artifact=10194836931;digest=sha256:e38a64f339d094b47db05b782cfc0817a702e8abfa8852c8414b86b33a008ad5
