date,canonical_theme,raw_labels,limitup_member_count,member_adv_ratio,member_median_ret,member_mean_ret,member_mean_ret_1000,turnover_share,board_height,ladder_depth,early_limit_touch_ratio,pit_timestamped_corroborated,lianban_semantic_vote,source_votes,persistence_3d,persistence_5d,followthrough_prev_theme_ret,followthrough_prev_theme_winrate,followthrough_prev_theme_bigloss,theme_score,theme_rank,lifecycle_stage
2026-07-08,AI安全,AI安全,2,1.0,0.19999999999999996,0.19999999999999996,0.04574574574574575,0.001265127547537779,1.0,1,0.0,False,False,1,1,1,,,,0.33875,9,启动
2026-07-08,AI应用,AI应用,8,1.0,0.1006878241794289,0.13756999886649787,0.06623060595861321,0.0034729934100491606,1.0,1,0.25,False,False,1,1,2,,,,0.41000000000000003,6,发酵
2026-07-08,交换机,交换机,2,1.0,0.1000721064837371,0.1000721064837371,0.1000721064837371,0.0007482714547512153,1.0,1,1.0,False,False,1,2,2,,,,0.47375000000000006,4,分歧
2026-07-08,地产,地产链,2,1.0,0.09932340342679125,0.09932340342679125,0.07907418224299056,0.00014943214512263972,2.0,2,0.5,False,False,1,3,4,0.022429529187581343,0.5,0.5,0.4229166666666667,5,确认
2026-07-08,并购重组,并购重组,4,1.0,0.10027932960893848,0.12509161375325606,0.05394833388889056,0.0009802666059007229,7.0,2,0.5,False,False,1,3,4,0.025147399939178805,0.5,0.0,0.55125,3,回流
2026-07-08,机器人,机器人概念,4,1.0,0.10006923195578732,0.10017048554311098,0.07281868528700342,0.0010489174365038159,2.0,2,0.75,True,False,2,3,5,0.045844145063707736,0.7777777777777778,0.1111111111111111,0.7195833333333332,1,分歧
2026-07-08,消费,食品饮料,1,1.0,0.10000000000000009,0.10000000000000009,0.06666666666666687,0.00015340602622579446,1.0,1,0.0,False,False,1,1,1,,,,0.27875,10,启动
2026-07-08,电力电网,智能电网,3,1.0,0.10000000000000009,0.10014992503748132,0.08997697836818423,0.0003021267604569347,1.0,1,0.6666666666666666,False,False,1,1,1,,,,0.38375,7,启动
2026-07-08,算力硬件,数据中心|算力,18,1.0,0.10004922152557583,0.10563616368223894,0.06368508271648676,0.005239978904920664,2.0,2,0.3888888888888889,True,False,2,2,3,,,,0.6224999999999999,2,发酵
2026-07-08,股权转让,股权转让,3,1.0,0.10000000000000009,0.0998984498158546,0.06829049602193016,0.00028737404213386304,1.0,1,0.6666666666666666,False,False,1,1,2,,,,0.36875,8,启动
2026-07-02,AI应用,AI应用,5,1.0,0.10099009900990086,0.12028107065306681,0.12028107065306681,0.0006014268679297516,1.0,1,1.0,False,False,1,1,1,,,,0.37625,8,启动
2026-07-02,农业,农业,4,1.0,0.10011933174224352,0.10012007861096034,0.06595862521511425,0.00029118449113580325,2.0,2,0.25,False,False,1,2,2,0.004824310612886318,0.4,0.0,0.3385714285714286,10,分歧
2026-07-02,化工,化工,8,1.0,0.10006547877370786,0.11258528062074788,0.08959153891409335,0.0027643143145073003,2.0,2,0.5,False,False,1,2,2,0.011485288719065522,0.5,0.1,0.4900000000000001,5,确认
2026-07-02,医药,医药,4,1.0,0.0998063752399303,0.0998469235539487,0.08592939778075281,0.0003470776488606795,2.0,2,0.75,True,False,2,2,2,0.02117848460798266,0.4,0.0,0.5125000000000001,3,确认
2026-07-02,地产,地产链,2,1.0,0.09937674043391587,0.09937674043391587,0.09937674043391587,0.0009921756234361218,3.0,2,1.0,False,False,1,2,2,0.0070494060695404275,0.5,0.0,0.5925,1,分歧
2026-07-02,基础建设,基础建设,6,1.0,0.09995748299319729,0.11655245750332321,0.09250641832262359,0.0003987893907004229,3.0,2,0.6666666666666666,False,False,1,2,2,0.02140191914119635,0.75,0.0,0.5158928571428572,2,发酵
2026-07-02,服装家纺,服装家纺,6,1.0,0.09997492032341315,0.09998012743652729,0.053356481944570155,0.0009158731656093908,2.0,2,0.3333333333333333,False,False,1,1,1,,,,0.35000000000000003,9,启动
2026-07-02,机器人,机器人概念,19,1.0,0.10003479471120391,0.11054800261107442,0.07287727155860167,0.0022879736817075272,2.0,2,0.3684210526315789,True,False,2,2,2,-0.0035926405909040985,0.3684210526315789,0.05263157894736842,0.4982142857142856,4,确认
2026-07-02,股权转让,股权转让,3,1.0,0.10000000000000009,0.10009033423667575,0.10009033423667575,0.0005181209502875082,2.0,2,1.0,False,False,1,2,2,-0.0012088444859908731,0.25,0.0,0.47482142857142856,6,震荡
2026-07-02,通信,通信,3,1.0,0.10000000000000009,0.13334691383173758,0.13334691383173758,0.00043322957354661204,2.0,2,1.0,False,False,1,1,1,,,,0.42125,7,启动
2026-07-09,AI应用,AI应用,4,1.0,0.10062384753828657,0.12527230411779622,0.07307135806709392,0.0006318894902840532,1.0,1,0.25,False,False,1,2,2,0.01895263749586036,0.75,0.0,0.4337500000000001,6,分歧
