date,published_at,source,url,raw_theme,canonical_theme,observed_context,evidence_tier,trade_effective_date,trade_eligible
2026-07-01,2026-07-01T20:52:00+08:00,淘股吧原创复盘,https://www.tgb.cn/a/2t5akbLSLmB-1,国产芯片,半导体,早盘普涨后高位科技分歧，资金高低切换；芯片和机器人仍有强辨识度,E1_timestamped,2026-07-02,True
2026-07-01,2026-07-01T20:52:00+08:00,淘股吧原创复盘,https://www.tgb.cn/a/2t5akbLSLmB-1,机器人,机器人,早盘普涨后高位科技分歧，资金高低切换；芯片和机器人仍有强辨识度,E1_timestamped,2026-07-02,True
2026-07-01,2026-07-01T20:52:00+08:00,淘股吧原创复盘,https://www.tgb.cn/a/2t5akbLSLmB-1,大金融,金融,早盘普涨后高位科技分歧，资金高低切换；芯片和机器人仍有强辨识度,E1_timestamped,2026-07-02,True
2026-07-01,2026-07-01T20:52:00+08:00,淘股吧原创复盘,https://www.tgb.cn/a/2t5akbLSLmB-1,化工,化工,早盘普涨后高位科技分歧，资金高低切换；芯片和机器人仍有强辨识度,E1_timestamped,2026-07-02,True
2026-07-01,2026-07-01T20:52:00+08:00,淘股吧原创复盘,https://www.tgb.cn/a/2t5akbLSLmB-1,医药,医药,早盘普涨后高位科技分歧，资金高低切换；芯片和机器人仍有强辨识度,E1_timestamped,2026-07-02,True
2026-07-01,2026-07-01T20:52:00+08:00,淘股吧原创复盘,https://www.tgb.cn/a/2t5akbLSLmB-1,农业,农业,早盘普涨后高位科技分歧，资金高低切换；芯片和机器人仍有强辨识度,E1_timestamped,2026-07-02,True
2026-07-02,2026-07-02T20:06:00+08:00,淘股吧原创情绪复盘,https://www.tgb.cn/a/2t6LVOKQwo6,国产芯片,半导体,科技高位分歧，机器人与存储芯片分化，资金尝试低位与防御方向,E1_timestamped,2026-07-03,True
2026-07-02,2026-07-02T20:06:00+08:00,淘股吧原创情绪复盘,https://www.tgb.cn/a/2t6LVOKQwo6,机器人,机器人,科技高位分歧，机器人与存储芯片分化，资金尝试低位与防御方向,E1_timestamped,2026-07-03,True
2026-07-02,2026-07-02T20:06:00+08:00,淘股吧原创情绪复盘,https://www.tgb.cn/a/2t6LVOKQwo6,存储芯片,存储芯片,科技高位分歧，机器人与存储芯片分化，资金尝试低位与防御方向,E1_timestamped,2026-07-03,True
2026-07-02,2026-07-02T20:06:00+08:00,淘股吧原创情绪复盘,https://www.tgb.cn/a/2t6LVOKQwo6,医药,医药,科技高位分歧，机器人与存储芯片分化，资金尝试低位与防御方向,E1_timestamped,2026-07-03,True
2026-07-02,2026-07-02T20:06:00+08:00,淘股吧原创情绪复盘,https://www.tgb.cn/a/2t6LVOKQwo6,黄金,资源有色,科技高位分歧，机器人与存储芯片分化，资金尝试低位与防御方向,E1_timestamped,2026-07-03,True
2026-07-03,2026-07-03T18:17:56+08:00,每日经济新闻,https://www.nbd.com.cn/articles/2026-07-03/4451747.html,机器人,机器人,修复但结构分化，机器人等低位方向突出，AI硬件高位方向继续分化,E1_timestamped,2026-07-06,True
2026-07-03,2026-07-03T18:17:56+08:00,每日经济新闻,https://www.nbd.com.cn/articles/2026-07-03/4451747.html,汽车,汽车,修复但结构分化，机器人等低位方向突出，AI硬件高位方向继续分化,E1_timestamped,2026-07-06,True
